gender,race,residence,income,school_type,hooks,major,sat,ec_awards,essay_lor_interview,acceptances,waitlists,rejections,note,acceptances_clean,waitlists_clean,rejections_clean,num_acceptances,num_waitlists,num_rejections
T,ASIAN,GA,High,PUBLIC,URM,PREMED,1580,7.5,8.5,"['*HARVARD', '*BROWN', '*STANFORD', '*DUKE', '*PRINCETON', '*GEORGIA TECH', '*UPENN', '*EMORY', '*NORTHEASTERN', '*UCHICAGO']","['*PRINCETON', '*MIT']","['*HARVARD', '*JOHNS HOPKINS', '*UCHICAGO']",NA,"HARVARD, BROWN, STANFORD, DUKE, PRINCETON, GEORGIA TECH, UPENN, EMORY, NORTHEASTERN, UCHICAGO","PRINCETON, MIT","HARVARD, JOHNS HOPKINS, UCHICAGO",10,2,3
M,WHITE,CA,Low,NA,NONE,ENG,1480,6.5,6.5,"['*PURDUE', '*San Jose State University', '*NORTHEASTERN', '*UCI']","['*UCLA', '*CMU', '*NYU', '*UMICH', '*UIUC']","['*STANFORD', '*NORTHWESTERN', '*COLUMBIA', '*CORNELL', '*PRINCETON', '*CALTECH', '*GEORGIA TECH']",NA,"PURDUE, San Jose State University, NORTHEASTERN, UCI","UCLA, CMU, NYU, UMICH, UIUC","STANFORD, NORTHWESTERN, COLUMBIA, CORNELL, PRINCETON, CALTECH, GEORGIA TECH",4,5,7
F,ASIAN,IN,Low,NA,FIRST-GEN,CS,1590,8.5,3.5,"['*CORNELL', '*DARTMOUTH', '*RICE', '*WILLIAMS']","['*COLUMBIA', '*UPENN']","['*HARVARD', '*YALE', '*STANFORD', '*NORTHWESTERN', '*DUKE']",NA,"CORNELL, DARTMOUTH, RICE, WILLIAMS","COLUMBIA, UPENN","HARVARD, YALE, STANFORD, NORTHWESTERN, DUKE",4,2,5
M,ASIAN,OR,Low,PUBLIC,NONE,BIO,1590,8.5,8.5,"['*UCLA', '*BERKELEY', '*PRINCETON', '*UMICH', '*WASHU', '*RUTGERS', '*UNC CHAPEL HILL']","['*BROWN', '*DUKE', '*DARTMOUTH', '*RICE', '*VANDERBILT', '*UPENN']","['*HARVARD', '*YALE', '*NORTHWESTERN', '*COLUMBIA', '*CORNELL', '*JOHNS HOPKINS', '*UCHICAGO']",NA,"UCLA, BERKELEY, PRINCETON, UMICH, WASHU, RUTGERS, UNC CHAPEL HILL","BROWN, DUKE, DARTMOUTH, RICE, VANDERBILT, UPENN","HARVARD, YALE, NORTHWESTERN, COLUMBIA, CORNELL, JOHNS HOPKINS, UCHICAGO",7,6,7
M,WHITE,OR,Low,NA,NONE,CS,1560,2.5,4.5,['*USC'],[],"['*HARVARD', '*YALE', '*PRINCETON']",NA,USC,,"HARVARD, YALE, PRINCETON",1,0,3
M,ASIAN,UT,Low,NA,NONE,DESIGN,1490,8.5,3.7,[],['*COLUMBIA'],"['*UCLA', '*BROWN', '*STANFORD', '*CORNELL', '*BERKELEY', '*UPENN', '*UMICH', '*UCHICAGO']",NA,,COLUMBIA,"UCLA, BROWN, STANFORD, CORNELL, BERKELEY, UPENN, UMICH, UCHICAGO",0,1,8
NB,ASIAN,CO,Low,PUBLIC,FIRST-GEN,CS,1320,5.5,8.5,"['*RUTGERS', '*VIRGINIA TECH', '*UVA']","['*PURDUE', '*UPENN']","['*PURDUE', '*BOSTON UNIVERSITY', '*NORTHEASTERN']",NA,"RUTGERS, VIRGINIA TECH, UVA","PURDUE, UPENN","PURDUE, BOSTON UNIVERSITY, NORTHEASTERN",3,2,3
M,ASIAN,UT,Low,INTERNATIONAL,NONE,CS,1560,7.5,6.5,['*CORNELL'],"['*UCLA', '*CORNELL', '*BERKELEY', '*UCHICAGO']","['*YALE', '*STANFORD', '*PRINCETON', '*MIT', '*CALTECH', '*JOHNS HOPKINS', '*UPENN']",NA,CORNELL,"UCLA, CORNELL, BERKELEY, UCHICAGO","YALE, STANFORD, PRINCETON, MIT, CALTECH, JOHNS HOPKINS, UPENN",1,4,7
F,WHITE,NY,Low,PUBLIC,LEGACY,HISTORY,1330,3.5,6.5,['*BOSTON UNIVERSITY'],[],['*NYU'],NA,BOSTON UNIVERSITY,,NYU,1,0,1
T,ASIAN,NE,Low,PUBLIC,NONE,CS,1480,6.5,7.5,"['*UCLA', '*BERKELEY', '*UCSD', '*CMU', '*RICE', '*UCSB', '*UCSC']","['*HARVARD', '*SWARTHMORE', '*UCI']","['*COLUMBIA', '*PRINCETON', '*MIT']",NA,"UCLA, BERKELEY, UCSD, CMU, RICE, UCSB, UCSC","HARVARD, SWARTHMORE, UCI","COLUMBIA, PRINCETON, MIT",7,3,3
F,ASIAN,TX,Low,PUBLIC,NONE,CS,1520,6.5,4.5,"['*HARVARD', '*STANFORD', '*MIT', '*RICE', '*UT-AUSTIN']","['*COLUMBIA', '*CASE WESTERN', '*NORTHEASTERN']","['*YALE', '*MIT']",NA,"HARVARD, STANFORD, MIT, RICE, UT-AUSTIN","COLUMBIA, CASE WESTERN, NORTHEASTERN","YALE, MIT",5,3,2
F,WHITE,USA,Middle,PUBLIC,NONE,CS,1590,9.5,8.5,[],"['*UMICH', '*NORTHEASTERN']","['*HARVARD', '*YALE', '*COLUMBIA', '*CORNELL', '*PRINCETON', '*MIT', '*VANDERBILT', '*UPENN', '*EMORY', '*BOSTON UNIVERSITY', '*COLGATE']",NA,,"UMICH, NORTHEASTERN","HARVARD, YALE, COLUMBIA, CORNELL, PRINCETON, MIT, VANDERBILT, UPENN, EMORY, BOSTON UNIVERSITY, COLGATE",0,2,11
M,NATIVE,MA,Low,PRIVATE,NONE,CS,1240,5,7.8,"['*YALE', '*CORNELL', '*DARTMOUTH', '*CMU', '*UIUC']","['*BERKELEY', '*PRINCETON', '*MIT', '*UMICH']","['*UCLA', '*YALE', '*COLUMBIA', '*CALTECH', '*UT-AUSTIN']",NA,"YALE, CORNELL, DARTMOUTH, CMU, UIUC","BERKELEY, PRINCETON, MIT, UMICH","UCLA, YALE, COLUMBIA, CALTECH, UT-AUSTIN",5,4,5
