Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Acceptances,Waitlists,Rejections,Note
F,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1560,6.5,6.5,"['*CMU', '*UMICH', '*BOSTON UNIVERSITY', '*WASHU', '*NORTHEASTERN', '*UNC CHAPEL HILL']","['*NYU', '*BOSTON COLLEGE']","['*CORNELL', '*UPENN']",
M,ASIAN,-1,High,PRIVATE,NONE,-1,1460,6.5,8.5,"['*CORNELL', '*BOSTON COLLEGE', '*FORDHAM', '*RUTGERS']","['*DARTMOUTH', '*WILLIAMS', '*NYU', '*TUFTS']","['*COLUMBIA', '*NORTHEASTERN']",
M,WHITE,NY,Low,PUBLIC,NONE,-1,1560,7.5,6.8,"['*YALE', '*COLUMBIA', '*DARTMOUTH', '*RICE', '*VANDERBILT', '*WASHU']","['*BROWN', '*NORTHWESTERN', '*SWARTHMORE', '*WILLIAMS']","['*UCLA', '*HARVARD', '*DUKE', '*PRINCETON', '*MIT', '*NORTHEASTERN', '*TUFTS']",
M,ASIAN,DC,Low,PUBLIC,FIRST-GEN,CHEMISTRY,1570,3.5,6.2,['*JOHNS HOPKINS'],"['*CASE WESTERN', '*TULANE']","['*YALE', '*BROWN', '*SWARTHMORE', '*UPENN']",
M,WHITE,MI,High,PUBLIC,NONE,ENG,1460,8,7.5,"['*RICE', '*UMICH', '*UIUC', '*UT-AUSTIN']","['*UCLA', '*WILLIAMS', '*VANDERBILT', '*WASHU']","['*HARVARD', '*YALE', '*NORTHWESTERN', '*BERKELEY', '*POMONA', '*UCHICAGO', '*UNC CHAPEL HILL']",
F,WHITE,NY,High,-1,NONE,CS,1540,3.5,4.5,['*CORNELL'],['*COLGATE'],"['*HARVARD', '*BROWN', '*DARTMOUTH', '*VANDERBILT', '*UPENN', '*TUFTS', '*UCHICAGO']",
F,ASIAN,NC,Low,MAGNET,FIRST-GEN,ENG,1530,6.5,4.2,['*UNC CHAPEL HILL'],"['*JOHNS HOPKINS', '*UCHICAGO']","['*HARVARD', '*YALE', '*BROWN', '*COLUMBIA', '*DUKE', '*PRINCETON', '*DARTMOUTH', '*VANDERBILT']",
M,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1550,6.5,2.5,"['*CORNELL', '*GEORGIA TECH', '*BOSTON UNIVERSITY', '*NORTHEASTERN']","['*COLUMBIA', '*DARTMOUTH', '*VANDERBILT', '*NYU', '*UMICH', '*WASHU', '*UCHICAGO']","['*UCLA', '*NORTHWESTERN', '*BERKELEY', '*DUKE']",
M,BLACK,PA,Low,PRIVATE,URM,BIO,1520,5.5,4.5,"['*DARTMOUTH', '*CMU', '*UPENN', '*TUFTS']",[],"['*HARVARD', '*BROWN', '*CORNELL', '*JOHNS HOPKINS']",
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1560,5.5,4.5,"['*BERKELEY', '*UCSD', '*RUTGERS', '*NORTHEASTERN']",['*UMICH'],"['*UCLA', '*COLUMBIA', '*CORNELL', '*GEORGIA TECH', '*UPENN', '*UIUC', '*UT-AUSTIN']",
M,ASIAN,CA,Low,-1,NONE,CS,1570,6.5,2.5,"['*UCSD', '*UCSB', '*UCD', '*UCSC', '*UIUC', '*UCI']","['*UCLA', '*CORNELL', '*GEORGIA TECH', '*CMU']","['*STANFORD', '*MIT', '*UMICH', '*USC', '*HARVEY MUDD']",
M,WHITE,FL,Middle,PUBLIC,NONE,CS,1540,3.5,4.5,[],['*UVA'],"['*HARVARD', '*BROWN', '*NORTHWESTERN', '*CORNELL', '*DUKE', '*UMICH', '*USC', '*NORTHEASTERN']",
